# Server version 0.08 running on olivier-ThinkPad-T450:8123
# Game ID: 58
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 29 16:20:56 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260523926', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260523926
PIT 0 21
PIT 1 0
PIT 0 13
PIT 1 12
PIT 0 7
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 14
PIT 1 5
PIT 0 8
PIT 1 6
PIT 0 20
PIT 1 13
PIT 0 2
PIT 1 26
PIT 0 17
PIT 1 9
PIT 0 11
PIT 1 21
PIT 0 0
PIT 1 27
PIT 0 4
PIT 1 22
PIT 0 5
PIT 1 23
PIT 0 6
PIT 1 30
PIT 0 9
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Tue Mar 29 16:21:05 EDT 2016
